"log_id","entity_id","action","created_ts","created_by","status","name"
1,1000,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Bad Bunny"
2,1001,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Taylor Swift"
3,1002,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Drake"
4,1003,"create","2022-10-12 09:47:36.332566","CarbonArc","production","The Weeknd"
5,1004,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Harry Styles"
6,1005,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Kanye West"
7,1006,"create","2022-10-12 09:47:36.332566","CarbonArc","production","BTS"
8,1007,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Ed Sheeran"
9,1008,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Eminem"
10,1009,"create","2022-10-12 09:47:36.332566","CarbonArc","production","YoungBoy Never Broke Again"
11,1010,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Juice WRLD"
12,1011,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Billie Eilish"
13,1012,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Doja Cat"
14,1013,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Morgan Wallen"
15,1014,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Justin Bieber"
16,1015,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Post Malone"
17,1016,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Adele"
18,1017,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Imagine Dragons"
19,1018,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Future"
20,1019,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Kendrick Lamar"
21,1020,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Rihanna"
22,1021,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Olivia Rodrigo"
23,1022,"create","2022-10-12 09:47:36.332566","CarbonArc","production","XXXTENTACION"
24,1023,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Ariana Grande"
25,1024,"create","2022-10-12 09:47:36.332566","CarbonArc","production","J. Cole"
26,1025,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Pop Smoke"
27,1026,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Luke Combs"
28,1027,"create","2022-10-12 09:47:36.332566","CarbonArc","production","The Beatles"
29,1028,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Rod Wave"
30,1029,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Beyoncé"
31,1030,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Coldplay"
32,1031,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Bruno Mars"
33,1032,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Jack Harlow"
34,1033,"create","2022-10-12 09:47:36.332566","CarbonArc","production","$uicideboy$"
35,1034,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Maroon 5"
36,1035,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lil Durk"
37,1036,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lana Del Rey"
38,1037,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Dua Lipa"
39,1038,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lil Uzi Vert"
40,1039,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Queen"
41,1040,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Mac Miller"
42,1041,"create","2022-10-12 09:47:36.332566","CarbonArc","production","One Direction"
43,1042,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lil Baby"
44,1043,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Polo G"
45,1044,"create","2022-10-12 09:47:36.332566","CarbonArc","production","The Neighbourhood"
46,1045,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Tyler, The Creator"
47,1046,"create","2022-10-12 09:47:36.332566","CarbonArc","production","The Kid LAROI"
48,1047,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Yeat"
49,1048,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Frank Ocean"
50,1049,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Kodak Black"
51,1050,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Red Hot Chili Peppers"
52,1051,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Arctic Monkeys"
53,1052,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Travis Scott"
54,1053,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lady Gaga"
55,1054,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Gunna"
56,1055,"create","2022-10-12 09:47:36.332566","CarbonArc","production","OneRepublic"
57,1056,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Joji"
58,1057,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Shawn Mendes"
59,1058,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Linkin Park"
60,1059,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Katy Perry"
61,1060,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Michael Jackson"
62,1061,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Glass Animals"
63,1062,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Zach Bryan"
64,1063,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Metallica"
65,1064,"create","2022-10-12 09:47:36.332566","CarbonArc","production","AC/DC"
66,1065,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Nirvana"
67,1066,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Chris Brown"
68,1067,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Nicki Minaj"
69,1068,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lil Wayne"
70,1069,"create","2022-10-12 09:47:36.332566","CarbonArc","production","TWICE"
71,1070,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Twenty One Pilots"
72,1071,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Fleetwood Mac"
73,1072,"create","2022-10-12 09:47:36.332566","CarbonArc","production","NF"
74,1073,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Playboi Carti"
75,1074,"create","2022-10-12 09:47:36.332566","CarbonArc","production","2Pac"
76,1075,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Steve Lacy"
77,1076,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Chris Stapleton"
78,1077,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Kevin Gates"
79,1078,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Kid Cudi"
80,1079,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Miley Cyrus"
81,1080,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Bizarrap"
82,1081,"create","2022-10-12 09:47:36.332566","CarbonArc","production","BLACKPINK"
83,1082,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lil Peep"
84,1083,"create","2022-10-12 09:47:36.332566","CarbonArc","production","A Boogie Wit da Hoodie"
85,1084,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Sam Smith"
86,1085,"create","2022-10-12 09:47:36.332566","CarbonArc","production","50 Cent"
87,1086,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Lil Nas X"
88,1087,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Mitski"
89,1088,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Megan Thee Stallion"
90,1089,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Halsey"
91,1090,"create","2022-10-12 09:47:36.332566","CarbonArc","production","DaBaby"
92,1091,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Conan Gray"
93,1092,"create","2022-10-12 09:47:36.332566","CarbonArc","production","Brent Faiyaz"
