,external_name,external_id
0,Takeaki Masuyama,Takeaki Masuyama
1,Matthew Willig,Matthew Willig
2,Bill Camp,Bill Camp
3,Raymond S. Persi,Raymond S. Persi
4,Brad Pitt,Brad Pitt
5,Liam Neeson,Liam Neeson
6,Fred Tatasciore,Fred Tatasciore
7,June Diane Raphael,June Diane Raphael
8,Paul Pape,Paul Pape
9,Patrick Stewart,Patrick Stewart
10,Chris Renaud,Chris Renaud
11,Dan Fogler,Dan Fogler
12,James McAvoy,James McAvoy
13,Bostin Christopher,Bostin Christopher
14,Kevin Hudson,Kevin Hudson
15,Rob Riggle,Rob Riggle
16,Frank Welker,Frank Welker
17,Kurt Fuller,Kurt Fuller
18,Ross Marquand,Ross Marquand
19,Winnie Mzembe,Winnie Mzembe
20,Jack Huston,Jack Huston
21,John Douglas Thompson,John Douglas Thompson
22,Jet Li,Jet Li
23,Sasha Toro,Sasha Toro
24,O.T. Fagbenle,O.T. Fagbenle
25,Kumar Raja Venati,Kumar Raja Venati
26,Steve Buscemi,Steve Buscemi
27,Elizabeth Faith Ludlow,Elizabeth Faith Ludlow
28,Mark Hadlow,Mark Hadlow
29,Elliot Barnes-Worrell,Elliot Barnes-Worrell
30,Beatrice King,Beatrice King
31,Jared Leto,Jared Leto
32,Desiree Dixon,Desiree Dixon
33,Mark Wahlberg,Mark Wahlberg
34,Fred Armisen,Fred Armisen
35,T.I.,T.I.
36,Bob Bergen,Bob Bergen
37,Tom Cruise,Tom Cruise
38,Maggie Smith,Maggie Smith
39,Kelsey Asbille,Kelsey Asbille
40,Lee Unkrich,Lee Unkrich
41,Anna Paquin,Anna Paquin
42,James Arnold Taylor,James Arnold Taylor
43,Sandy Martin,Sandy Martin
44,Storm Reid,Storm Reid
45,Kevin Rankin,Kevin Rankin
46,Levy Tran,Levy Tran
47,Forest Whitaker,Forest Whitaker
48,Marion Cotillard,Marion Cotillard
49,Ralph Fiennes,Ralph Fiennes
50,Kelly Reilly,Kelly Reilly
51,Caroline Day,Caroline Day
52,Aidy Bryant,Aidy Bryant
53,Pell James,Pell James
54,Laurence Spellman,Laurence Spellman
55,Marcella Bragio,Marcella Bragio
56,Terry Notary,Terry Notary
57,Jonas Bloquet,Jonas Bloquet
58,Rene Russo,Rene Russo
59,Annie Pisapia,Annie Pisapia
60,Tony Shalhoub,Tony Shalhoub
61,Piper Perabo,Piper Perabo
62,Peter J. Fernandez,Peter J. Fernandez
63,Patrick Seitz,Patrick Seitz
64,Octavia Spencer,Octavia Spencer
65,Juke Hardy,Juke Hardy
66,Matt Jones,Matt Jones
67,Molly C. Quinn,Molly C. Quinn
68,Tommy Flanagan,Tommy Flanagan
69,Anne Hathaway,Anne Hathaway
70,Eddie Murphy,Eddie Murphy
71,Michael Pitt,Michael Pitt
72,Daisy Head,Daisy Head
73,Arben Bajraktaraj,Arben Bajraktaraj
74,Emma Watson,Emma Watson
75,Harry Sinclair,Harry Sinclair
76,Barry Shabaka Henley,Barry Shabaka Henley
77,Merab Ninidze,Merab Ninidze
78,Ashley Jensen,Ashley Jensen
79,Kristen Schaal,Kristen Schaal
80,Demetri Goritsas,Demetri Goritsas
81,Keegan-Michael Key,Keegan-Michael Key
82,Taylor Kitsch,Taylor Kitsch
83,Seann William Scott,Seann William Scott
84,Francesco Acquaroli,Francesco Acquaroli
85,Harrison Ford,Harrison Ford
86,Misha Osherovich,Misha Osherovich
87,Marton Csokas,Marton Csokas
88,Bill Farmer,Bill Farmer
89,Jon Michael Hill,Jon Michael Hill
90,Michael Stuhlbarg,Michael Stuhlbarg
91,Toni Garrn,Toni Garrn
92,Keith David,Keith David
93,Tony Amendola,Tony Amendola
94,Stephen Dunlevy,Stephen Dunlevy
95,Pete Davidson,Pete Davidson
96,Andrea Londo,Andrea Londo
97,Garrett Hedlund,Garrett Hedlund
98,Sam Spruell,Sam Spruell
99,Tom Kenny,Tom Kenny
100,Janet Porter,Janet Porter
101,Yayan Ruhian,Yayan Ruhian
102,Tim Matheson,Tim Matheson
103,Lee Joo-hyung,Lee Joo-hyung
104,Jay Upadhyay,Jay Upadhyay
105,Deneen Tyler,Deneen Tyler
106,Rutherford Cius,Rutherford Cius
107,Inori Minase,Inori Minase
108,Joe Bone,Joe Bone
109,Keanu Reeves,Keanu Reeves
110,Dick Van Dyke,Dick Van Dyke
111,Paul Eiding,Paul Eiding
112,Stephen King,Stephen King
113,Ashley Johnson,Ashley Johnson
114,Sanaa Lathan,Sanaa Lathan
115,Lewis Tan,Lewis Tan
116,Chris Hemsworth,Chris Hemsworth
117,Charles Halford,Charles Halford
118,Emma Roberts,Emma Roberts
119,William Melling,William Melling
120,James Landry Hébert,James Landry Hébert
121,Heidi Moneymaker,Heidi Moneymaker
122,Saptagiri,Saptagiri
123,Hilary Swank,Hilary Swank
124,Damion Poitier,Damion Poitier
125,Minami Tsuda,Minami Tsuda
126,Pat Kiernan,Pat Kiernan
127,Patrick St. Esprit,Patrick St. Esprit
128,Cheo Tapia,Cheo Tapia
129,Anthony Bandmann,Anthony Bandmann
