,external_name,external_id
0,Tresemme,Tresemme
1,Nature's Bounty,Nature's Bounty
2,Versace,Versace
3,Wrangler Jeans Co.,Wrangler Jeans Co.
4,Yoplait,Yoplait
5,Swiss Miss,Swiss Miss
6,"Solgar, Inc.","Solgar, Inc."
7,Ruffles,Ruffles
8,Patty's Herbs,Patty's Herbs
9,"Tree Top, Inc.","Tree Top, Inc."
10,Lysol,Lysol
11,Rite Aid,Rite Aid
12,Philadelphia,Philadelphia
13,Chic Soul,Chic Soul
14,Sweaty Betty,Sweaty Betty
15,Sega Corporation,Sega Corporation
16,Curves,Curves
17,Comet,Comet
18,Zoetis Inc.,Zoetis Inc.
19,Overnight Prints,Overnight Prints
20,"Doctor's Best, Inc.","Doctor's Best, Inc."
21,Dr. Pepper,Dr. Pepper
22,Char-Broil Llc.,Char-Broil Llc.
23,"Yiwu Cute Jewelry Co., Ltd","Yiwu Cute Jewelry Co., Ltd"
24,Aandw,Aandw
25,Pampers,Pampers
26,Rhythm Superfoods Llc,Rhythm Superfoods Llc
27,Maidenform,Maidenform
28,3M,3M
29,Thq Inc.,Thq Inc.
30,Benadryl,Benadryl
31,Tiger Fitness,Tiger Fitness
32,Swedish Fish,Swedish Fish
33,"Epic Games, Inc.","Epic Games, Inc."
34,Checkers Rally's,Checkers Rally's
35,Delonghi,Delonghi
36,Russell Athletic,Russell Athletic
37,Pepsi,Pepsi
38,Teas Tea,Teas Tea
39,Taste Of The Wild,Taste Of The Wild
40,Orville Redenbacher,Orville Redenbacher
41,Sandisk Corporation,Sandisk Corporation
42,Glutino,Glutino
43,The Hills,The Hills
44,Gongshow Gear Inc.,Gongshow Gear Inc.
45,Snickers,Snickers
46,Felix Gray,Felix Gray
47,Froot Loops,Froot Loops
48,Garden Lites,Garden Lites
49,Feel Good Foods Inc,Feel Good Foods Inc
50,Campari,Campari
51,Zatarain's,Zatarain's
52,Dyson,Dyson
53,"Gaia Herbs, Llc","Gaia Herbs, Llc"
54,Eggo,Eggo
55,Ile De France,Ile De France
56,Toro,Toro
57,Devolver Digital,Devolver Digital
58,Blue Microphones,Blue Microphones
