,external_id,external_name,entity_id,name,confidence
0,Luke Evans,Luke Evans,1717,Luke Evans,100.0
1,Liam Neeson,Liam Neeson,1603,Liam Neeson,100.0
2,Tom Cruise,Tom Cruise,1663,Tom Cruise,100.0
3,Keegan-Michael Key,Keegan-Michael Key,1642,Keegan-Michael Key,100.0
4,Bill Farmer,Bill Farmer,1828,Bill Farmer,100.0
5,Anne Hathaway,Anne Hathaway,1927,Anne Hathaway,100.0
6,Mahershala Ali,Mahershala Ali,1724,Mahershala Ali,100.0
7,Rhys Ifans,Rhys Ifans,1930,Rhys Ifans,100.0
8,Keanu Reeves,Keanu Reeves,1588,Keanu Reeves,100.0
9,Patrick Stewart,Patrick Stewart,1938,Patrick Stewart,100.0
10,Brad Pitt,Brad Pitt,1633,Brad Pitt,100.0
11,Steve Buscemi,Steve Buscemi,1740,Steve Buscemi,100.0
12,Emma Watson,Emma Watson,1615,Emma Watson,100.0
13,Chris Hemsworth,Chris Hemsworth,1525,Chris Hemsworth,100.0
14,Frank Welker,Frank Welker,1549,Frank Welker,100.0
15,Bill Camp,Bill Camp,1800,Bill Camp,100.0
16,David Harbour,David Harbour,1659,David Harbour,100.0
17,Tom Vaughan-Lawlor,Tom Vaughan-Lawlor,1703,Tom Vaughan-Lawlor,100.0
18,Fred Tatasciore,Fred Tatasciore,1546,Fred Tatasciore,100.0
19,Michael Gaston,Michael Gaston,1649,Michael Gambon,85.71428571428572
20,Jason Mantzoukas,Jason Mantzoukas,1907,Jason Mantzoukas,100.0
21,Yoshitsugu Matsuoka,Yoshitsugu Matsuoka,1944,Yoshitsugu Matsuoka,100.0
22,Ralph Fiennes,Ralph Fiennes,1601,Ralph Fiennes,100.0
23,Chadwick Boseman,Chadwick Boseman,1571,Chadwick Boseman,100.0
24,Tom Hardy,Tom Hardy,1613,Tom Hardy,100.0
25,Seth MacFarlane,Seth MacFarlane,1900,Seth MacFarlane,100.0
26,Brandon McKnight,Brandon McKnight,1741,Brandon McKnight,100.0
27,John Kavanagh,John Kavanagh,1631,John Kavanagh,100.0
28,Jamie Foxx,Jamie Foxx,1763,Jamie Foxx,100.0
29,Frank Grillo,Frank Grillo,1636,Frank Grillo,100.0
30,Harrison Ford,Harrison Ford,1820,Harrison Ford,100.0
31,Phil LaMarr,Phil LaMarr,1761,Phil LaMarr,100.0
32,Andy Serkis,Andy Serkis,1557,Andy Serkis,100.0
33,Octavia Spencer,Octavia Spencer,1729,Octavia Spencer,100.0
34,James McAvoy,James McAvoy,1641,James McAvoy,100.0
35,Mark Wahlberg,Mark Wahlberg,1870,Mark Wahlberg,100.0
36,Maggie Smith,Maggie Smith,1736,Maggie Smith,100.0
37,Don Cheadle,Don Cheadle,1544,Don Cheadle,100.0
38,Johnny Galecki,Johnny Galecki,1708,Johnny Galecki,100.0
39,Thomas Middleditch,Thomas Middleditch,1864,Thomas Middleditch,100.0
40,Ross Marquand,Ross Marquand,1524,Ross Marquand,100.0
41,Tye Sheridan,Tye Sheridan,1890,Tye Sheridan,100.0
42,Terry Notary,Terry Notary,1551,Terry Notary,100.0
43,Jorge Lendeborg Jr.,Jorge Lendeborg Jr.,1774,Jorge Lendeborg Jr.,100.0
44,Leonardo DiCaprio,Leonardo DiCaprio,1886,Leonardo DiCaprio,100.0
45,Gemma Chan,Gemma Chan,1732,Gemma Chan,100.0
46,Rene Russo,Rene Russo,1895,Rene Russo,100.0
47,Roger Yuan,Roger Yuan,1745,Roger Yuan,100.0
48,Bob Bergen,Bob Bergen,1650,Bob Bergen,100.0
49,Tait Fletcher,Tait Fletcher,1718,Tait Fletcher,100.0
50,Kurt Russell,Kurt Russell,1758,Kurt Russell,100.0
51,Tessa Thompson,Tessa Thompson,1545,Tessa Thompson,100.0
52,Samuel L. Jackson,Samuel L. Jackson,1501,Samuel L. Jackson,100.0
53,Morgan Freeman,Morgan Freeman,1679,Morgan Freeman,100.0
54,Woody Harrelson,Woody Harrelson,1595,Woody Harrelson,100.0
55,Judy Greer,Judy Greer,1858,Judy Greer,100.0
56,Anthony Mackie,Anthony Mackie,1537,Anthony Mackie,100.0
57,Jason Statham,Jason Statham,1634,Jason Statham,100.0
58,Sophie Turner,Sophie Turner,1508,Sophie Turner,100.0
59,Common,Common,1777,Common,100.0
60,Natalie Portman,Natalie Portman,1681,Natalie Portman,100.0
61,Ed Harris,Ed Harris,1674,Ed Harris,100.0
62,Helena Bonham Carter,Helena Bonham Carter,1739,Helena Bonham Carter,100.0
63,John Rhys-Davies,John Rhys-Davies,1984,John Rhys-Davies,100.0
64,Jerome Flynn,Jerome Flynn,1505,Jerome Flynn,100.0
65,Karl Urban,Karl Urban,1624,Karl Urban,100.0
66,Josh Gad,Josh Gad,1752,Josh Gad,100.0
67,Alexandra Shipp,Alexandra Shipp,1947,Alexandra Shipp,100.0
68,Stellan Skarsgård,Stellan Skarsgård,1592,Stellan Skarsgård,100.0
69,Oliver Phelps,Oliver Phelps,1731,Oliver Phelps,100.0
70,Rupert Grint,Rupert Grint,1701,Rupert Grint,100.0
71,Michael Keaton,Michael Keaton,1926,Michael Keaton,100.0
72,Kobna Holdbrook-Smith,Kobna Holdbrook-Smith,1807,Kobna Holdbrook-Smith,100.0
73,Chris Evans,Chris Evans,1520,Chris Evans,100.0
74,Lee Nicholas Harris,Lee Nicholas Harris,1994,Lee Nicholas Harris,100.0
75,Tadanobu Asano,Tadanobu Asano,1921,Tadanobu Asano,100.0
76,Mark Strong,Mark Strong,1872,Mark Strong,100.0
77,Ciarán Hinds,Ciarán Hinds,1618,Ciarán Hinds,100.0
78,Sam Hargrave,Sam Hargrave,1570,Sam Hargrave,100.0
79,Hiten Patel,Hiten Patel,1680,Hiten Patel,100.0
80,Candice Patton,Candice Patton,1829,Candice Patton,100.0
81,Rebecca Ferguson,Rebecca Ferguson,1770,Rebecca Ferguson,100.0
82,Alexander Ludwig,Alexander Ludwig,1586,Alexander Ludwig,100.0
83,Amber Heard,Amber Heard,1753,Amber Heard,100.0
84,Matthew Wolf,Matthew Wolf,1694,Matthew Wood,83.33333333333334
85,Terry Crews,Terry Crews,1697,Terry Crews,100.0
86,Anthony Molinari,Anthony Molinari,1627,Anthony Molinari,100.0
87,Matthew Wood,Matthew Wood,1694,Matthew Wood,100.0
88,Eiza González,Eiza González,1787,Eiza González,100.0
89,Wayne Pyle,Wayne Pyle,1943,Wayne Pére,80.0
90,Timothy Carr,Timothy Carr,1796,Timothy Carr,100.0
91,Kerry Condon,Kerry Condon,1564,Kerry Condon,100.0
92,Hayley Atwell,Hayley Atwell,1712,Hayley Atwell,100.0
93,Bill Hader,Bill Hader,1675,Bill Hader,100.0
94,Jeremy Renner,Jeremy Renner,1583,Jeremy Renner,100.0
95,Taika Waititi,Taika Waititi,1600,Taika Waititi,100.0
96,Vincent Cassel,Vincent Cassel,1844,Vincent Cassel,100.0
97,Channing Tatum,Channing Tatum,1842,Channing Tatum,100.0
98,Diane Lane,Diane Lane,1765,Diane Lane,100.0
99,Timothy Spall,Timothy Spall,1826,Timothy Spall,100.0
100,Arthur Ortiz,Arthur Ortiz,1888,Arthur Ortiz,100.0
101,Seth Green,Seth Green,1669,Seth Green,100.0
102,William Hurt,William Hurt,1579,William Hurt,100.0
103,Viola Davis,Viola Davis,1803,Viola Davis,100.0
104,Michael Gambon,Michael Gambon,1649,Michael Gambon,100.0
105,Carlos Alazraqui,Carlos Alazraqui,1974,Carlos Alazraqui,100.0
106,Ty Simpkins,Ty Simpkins,1822,Ty Simpkins,100.0
107,Tilda Swinton,Tilda Swinton,1640,Tilda Swinton,100.0
108,Kari Wahlgren,Kari Wahlgren,1997,Kari Wahlgren,100.0
109,Daniel Eghan,Daniel Eghan,1824,Daniel Eghan,100.0
110,Idris Elba,Idris Elba,1528,Idris Elba,100.0
111,Carmen Ejogo,Carmen Ejogo,1968,Carmen Ejogo,100.0
112,Clancy Brown,Clancy Brown,1925,Clancy Brown,100.0
113,Aaron Paul,Aaron Paul,1687,Aaron Paul,100.0
114,John Cenatiempo,John Cenatiempo,1959,John Cenatiempo,100.0
115,Emma Thompson,Emma Thompson,1714,Emma Thompson,100.0
116,Will Smith,Will Smith,1646,Will Smith,100.0
117,Connie Nielsen,Connie Nielsen,1645,Connie Nielsen,100.0
118,Ben Mendelsohn,Ben Mendelsohn,1609,Ben Mendelsohn,100.0
119,Gary Weeks,Gary Weeks,1567,Gary Weeks,100.0
120,Brian T. Delaney,Brian T. Delaney,1843,Brian T. Delaney,100.0
121,David Dastmalchian,David Dastmalchian,1721,David Dastmalchian,100.0
122,Bern Collaço,Bern Collaço,1550,Bern Collaço,100.0
123,Samantha Morton,Samantha Morton,1566,Samantha Morton,100.0
124,Matthew Cornwell,Matthew Cornwell,1972,Matthew Cornwell,100.0
125,Richard Griffiths,Richard Griffiths,1929,Richard Griffiths,100.0
126,Michelle Pfeiffer,Michelle Pfeiffer,1635,Michelle Pfeiffer,100.0
127,Ken Jeong,Ken Jeong,1614,Ken Jeong,100.0
128,Billy Crudup,Billy Crudup,1910,Billy Crudup,100.0
129,Rory McCann,Rory McCann,1506,Rory McCann,100.0
130,Geraldine Somerville,Geraldine Somerville,1821,Geraldine Somerville,100.0
131,Tara Strong,Tara Strong,1872,Mark Strong,81.81818181818181
132,Liam Cunningham,Liam Cunningham,1512,Liam Cunningham,100.0
133,Zoë Kravitz,Zoë Kravitz,1632,Zoë Kravitz,100.0
134,Benedict Cumberbatch,Benedict Cumberbatch,1521,Benedict Cumberbatch,100.0
135,Charlize Theron,Charlize Theron,1719,Charlize Theron,100.0
136,Toby Jones,Toby Jones,1637,Toby Jones,100.0
137,Evangeline Lilly,Evangeline Lilly,1666,Evangeline Lilly,100.0
138,Kristen Bell,Kristen Bell,1802,Kristen Bell,100.0
139,Tom Felton,Tom Felton,1691,Tom Felton,100.0
140,Bruce Greenwood,Bruce Greenwood,1909,Bruce Greenwood,100.0
141,Russell Crowe,Russell Crowe,1966,Russell Crowe,100.0
142,Hugo Weaving,Hugo Weaving,1616,Hugo Weaving,100.0
143,Maya Rudolph,Maya Rudolph,1993,Maya Rudolph,100.0
144,John Kassir,John Kassir,1975,John Kassir,100.0
145,Alan Lee,Alan Lee,1500,Stan Lee,75.0
146,Josh Brolin,Josh Brolin,1535,Josh Brolin,100.0
147,Anthony Hopkins,Anthony Hopkins,1827,Anthony Hopkins,100.0
148,Millie Bobby Brown,Millie Bobby Brown,1882,Millie Bobby Brown,100.0
149,Warwick Davis,Warwick Davis,1548,Warwick Davis,100.0
150,Javier Botet,Javier Botet,1813,Javier Botet,100.0
151,Jessica Chastain,Jessica Chastain,1995,Jessica Chastain,100.0
152,Tom Hanks,Tom Hanks,1710,Tom Hanks,100.0
153,Chris Pang,Chris Pang,1793,Chris Pine,80.0
154,Katherine McNamara,Katherine McNamara,1905,Katherine McNamara,100.0
155,Keira Knightley,Keira Knightley,1932,Keira Knightley,100.0
156,Jeffrey Wright,Jeffrey Wright,1607,Jeffrey Wright,100.0
157,Jenny Slate,Jenny Slate,1747,Jenny Slate,100.0
158,John Cena,John Cena,1690,John Cena,100.0
159,Bradley Cooper,Bradley Cooper,1543,Bradley Cooper,100.0
160,Jack Black,Jack Black,1940,Jack Black,100.0
161,Hiroyuki Sanada,Hiroyuki Sanada,1754,Hiroyuki Sanada,100.0
162,Jonah Hill,Jonah Hill,1867,Jonah Hill,100.0
163,Ralph Ineson,Ralph Ineson,1569,Ralph Ineson,100.0
164,Owen Wilson,Owen Wilson,1877,Owen Wilson,100.0
165,Anya Taylor-Joy,Anya Taylor-Joy,1809,Anya Taylor-Joy,100.0
166,Fiona Shaw,Fiona Shaw,1776,Fiona Shaw,100.0
167,Ian McShane,Ian McShane,1647,Ian McShane,100.0
168,Hannibal Buress,Hannibal Buress,1656,Hannibal Buress,100.0
169,Wayne Pére,Wayne Pére,1943,Wayne Pére,100.0
170,Florence Kasumba,Florence Kasumba,1596,Florence Kasumba,100.0
171,Carlos Valdes,Carlos Valdes,1833,Carlos Valdes,100.0
172,John Bradley,John Bradley,1515,John Bradley,100.0
173,Al Clark,Al Clark,1716,Al Clark,100.0
174,Marie Mouroum,Marie Mouroum,1981,Marie Mouroum,100.0
175,Pom Klementieff,Pom Klementieff,1589,Pom Klementieff,100.0
176,Simon Helberg,Simon Helberg,1759,Simon Helberg,100.0
177,Finn Wolfhard,Finn Wolfhard,1851,Finn Wolfhard,100.0
178,Hannah John-Kamen,Hannah John-Kamen,1894,Hannah John-Kamen,100.0
179,Danila Kozlovsky,Danila Kozlovsky,1626,Danila Kozlovsky,100.0
180,Annie Potts,Annie Potts,1913,Annie Potts,100.0
181,Martin Starr,Martin Starr,1688,Martin Starr,100.0
182,Amber Evans,Amber Evans,1887,Amor Evans,80.0
183,Jorge Leon Martinez,Jorge Leon Martinez,1848,Jorge Leon Martinez,100.0
184,John Ortiz,John Ortiz,1893,John Ortiz,100.0
185,Maisie Williams,Maisie Williams,1513,Maisie Williams,100.0
186,Tony Revolori,Tony Revolori,1792,Tony Revolori,100.0
187,Madeleine McGraw,Madeleine McGraw,1951,Madeleine McGraw,100.0
188,Terri Douglas,Terri Douglas,1764,Terri Douglas,100.0
189,Jared Padalecki,Jared Padalecki,1956,Jared Padalecki,100.0
190,Zola Williams,Zola Williams,1922,Zola Williams,100.0
191,Justin Chambers,Justin Chambers,1856,Justin Chambers,100.0
192,Marisa Tomei,Marisa Tomei,1559,Marisa Tomei,100.0
193,Danielle Nicolet,Danielle Nicolet,1773,Danielle Nicolet,100.0
194,Christian Serratos,Christian Serratos,1576,Christian Serratos,100.0
195,Rob Delaney,Rob Delaney,1908,Rob Delaney,100.0
196,Bill Skarsgård,Bill Skarsgård,1818,Bill Skarsgård,100.0
197,Diego Klattenhoff,Diego Klattenhoff,1914,Diego Klattenhoff,100.0
198,Massi Furlan,Massi Furlan,1962,Massi Furlan,100.0
199,James Siderits,James Siderits,1728,James Siderits,100.0
200,Isaac Hempstead-Wright,Isaac Hempstead-Wright,1518,Isaac Hempstead-Wright,100.0
201,Ann Ogbomo,Ann Ogbomo,1853,Ann Ogbomo,100.0
202,Paul Anderson,Paul Anderson,1936,Paul Anderson,100.0
203,Billy Smith,Billy Smith,1646,Will Smith,80.0
204,Lexi Rabe,Lexi Rabe,1992,Lexi Rabe,100.0
205,Dan Reynolds,Dan Reynolds,1563,Ryan Reynolds,84.61538461538461
206,Brooke Ence,Brooke Ence,1982,Brooke Ence,100.0
207,Bill Smith,Bill Smith,1646,Will Smith,90.0
208,Michael A. Cook,Michael A. Cook,1904,Michael A. Cook,100.0
209,Tom Wilton,Tom Wilton,1691,Tom Felton,80.0
210,Kit Harington,Kit Harington,1503,Kit Harington,100.0
211,Jacob Anderson,Jacob Anderson,1514,Jacob Anderson,100.0
212,Olaniyan Thurmon,Olaniyan Thurmon,1734,Olaniyan Thurmon,100.0
213,Chris Carnel,Chris Carnel,1686,Chris Parnell,84.61538461538461
214,Mayim Bialik,Mayim Bialik,1768,Mayim Bialik,100.0
215,Cade Woodward,Cade Woodward,1955,Cade Woodward,100.0
216,Danny Max,Danny Max,1902,Danny Mann,80.0
217,Jill Smith,Jill Smith,1646,Will Smith,90.0
218,Sean Penn,Sean Penn,1574,Sean Gunn,77.77777777777779
219,Djimon Hounsou,Djimon Hounsou,1555,Djimon Hounsou,100.0
220,Matthew Goode,Matthew Goode,1694,Matthew Wood,83.33333333333334
221,Henry Cavill,Henry Cavill,1622,Henry Cavill,100.0
222,Pat Kiernan,Pat Kiernan,1794,Pat Kiernan,100.0
223,Stephanie Haymes-Roven,Stephanie Haymes-Roven,1983,Stephanie Haymes-Roven,100.0
224,Lampros Kalfuntzos,Lampros Kalfuntzos,1652,Lampros Kalfuntzos,100.0
225,Jared Leto,Jared Leto,1811,Jared Leto,100.0
226,Angela Bassett,Angela Bassett,1560,Angela Bassett,100.0
227,Sterling K. Brown,Sterling K. Brown,1709,Sterling K. Brown,100.0
228,Stephen Dunlevy,Stephen Dunlevy,1746,Stephen Dunlevy,100.0
229,Bruce Lester-Johnson,Bruce Lester-Johnson,1808,Bruce Lester-Johnson,100.0
230,Hari James,Hari James,1805,Hari James,100.0
231,Khary Payton,Khary Payton,1573,Khary Payton,100.0
232,Jesse L. Martin,Jesse L. Martin,1831,Jesse L. Martin,100.0
233,Zoe Saldaña,Zoe Saldaña,1554,Zoe Saldana,90.9090909090909
234,Bernardo Santos,Bernardo Santos,1756,Bernardo Santos,100.0
235,Megan Boone,Megan Boone,1971,Megan Boone,100.0
236,Dave Simon,Dave Simon,1788,Dave Simon,100.0
237,Nicole Kidman,Nicole Kidman,1868,Nicole Kidman,100.0
238,Scott Menville,Scott Menville,1608,Scott Menville,100.0
239,Kumail Nanjiani,Kumail Nanjiani,1978,Kumail Nanjiani,100.0
240,Jon Favreau,Jon Favreau,1540,Jon Favreau,100.0
241,Alfred Molina,Alfred Molina,1780,Alfred Molina,100.0
242,Shea Whigham,Shea Whigham,1648,Shea Whigham,100.0
243,Frank Oz,Frank Oz,1896,Frank Oz,100.0
244,Jesse Eisenberg,Jesse Eisenberg,1791,Jesse Eisenberg,100.0
245,Matthew McConaughey,Matthew McConaughey,1865,Matthew McConaughey,100.0
246,Brian Schaeffer,Brian Schaeffer,1620,Brian Schaeffer,100.0
247,Ewan McGregor,Ewan McGregor,1847,Ewan McGregor,100.0
248,Alfred Enoch,Alfred Enoch,1812,Alfred Enoch,100.0
249,Mark Williams,Mark Williams,1815,Mark Williams,100.0
250,James Pickens Jr.,James Pickens Jr.,1846,James Pickens Jr.,100.0
251,Robert Pralgo,Robert Pralgo,1598,Robert Pralgo,100.0
252,Josh Herdman,Josh Herdman,1684,Josh Herdman,100.0
253,Grey DeLisle,Grey DeLisle,1816,Grey DeLisle,100.0
254,Mona Marshall,Mona Marshall,1619,Mona Marshall,100.0
255,Vin Diesel,Vin Diesel,1523,Vin Diesel,100.0
256,Laurence Fishburne,Laurence Fishburne,1572,Laurence Fishburne,100.0
257,Jake Gyllenhaal,Jake Gyllenhaal,1750,Jake Gyllenhaal,100.0
258,Scarlett Johansson,Scarlett Johansson,1509,Scarlett Johansson,100.0
259,Brie Larson,Brie Larson,1623,Brie Larson,100.0
260,Nathalie Emmanuel,Nathalie Emmanuel,1964,Nathalie Emmanuel,100.0
261,John Goodman,John Goodman,1781,John Goodman,100.0
262,Ryan Hurst,Ryan Hurst,1581,Ryan Hurst,100.0
263,Jason Isaacs,Jason Isaacs,1667,Jason Isaacs,100.0
264,Monique Ganderton,Monique Ganderton,1638,Monique Ganderton,100.0
265,Patrick Wilson,Patrick Wilson,1621,Patrick Wilson,100.0
266,Elizabeth Olsen,Elizabeth Olsen,1553,Elizabeth Olsen,100.0
267,Jude Law,Jude Law,1702,Jude Law,100.0
268,Bruce Willis,Bruce Willis,1722,Bruce Willis,100.0
269,Hugh Jackman,Hugh Jackman,1671,Hugh Jackman,100.0
270,Robert Downey Jr.,Robert Downey Jr.,1529,Robert Downey Jr.,100.0
271,Nathan Fillion,Nathan Fillion,1841,Nathan Fillion,100.0
272,Richard Schiff,Richard Schiff,1769,Richard Schiff,100.0
273,Clem So,Clem So,1693,Clem So,100.0
274,Chiwetel Ejiofor,Chiwetel Ejiofor,1799,Chiwetel Ejiofor,100.0
275,Dwayne Johnson,Dwayne Johnson,1527,Dwayne Johnson,100.0
276,Robin Wright,Robin Wright,1597,Robin Wright,100.0
277,Aimee Garcia,Aimee Garcia,1963,Aimee Garcia,100.0
278,Michael Peña,Michael Peña,1699,Michael Peña,100.0
279,Colin Farrell,Colin Farrell,1785,Colin Farrell,100.0
280,Benicio del Toro,Benicio del Toro,1670,Benicio del Toro,100.0
281,Anthony Daniels,Anthony Daniels,1760,Anthony Daniels,100.0
282,Simon Pegg,Simon Pegg,1771,Simon Pegg,100.0
283,Tom Hiddleston,Tom Hiddleston,1536,Tom Hiddleston,100.0
284,Vera Farmiga,Vera Farmiga,1839,Vera Farmiga,100.0
285,Jim Cummings,Jim Cummings,1967,Jim Cummings,100.0
286,Stanley Tucci,Stanley Tucci,1767,Stanley Tucci,100.0
287,Matthew Lewis,Matthew Lewis,1672,Matthew Lewis,100.0
288,James Phelps,James Phelps,1730,James Phelps,100.0
289,Sala Baker,Sala Baker,1727,Sala Baker,100.0
290,Spencer Wilding,Spencer Wilding,1916,Spencer Wilding,100.0
291,Joe Russo,Joe Russo,1871,Joe Russo,100.0
292,Ving Rhames,Ving Rhames,1999,Ving Rhames,100.0
293,Rami Malek,Rami Malek,1772,Rami Malek,100.0
294,Martin Freeman,Martin Freeman,1766,Martin Freeman,100.0
295,Nicolas Cage,Nicolas Cage,1866,Nicolas Cage,100.0
296,Elisabeth Moss,Elisabeth Moss,1933,Elisabeth Moss,100.0
297,Jonathan Banks,Jonathan Banks,1748,Jonathan Banks,100.0
