,external_id,external_name,entity_id,name,confidence
0,Alan Jackson,Alan Jackson,1288,Alan Jackson,100.0
1,The Offspring,The Offspring,1255,The Offspring,100.0
2,Johnny Cash,Johnny Cash,1285,Johnny Cash,100.0
3,Ricardo Arjona,Ricardo Arjona,1314,Ricardo Arjona,100.0
4,The Cult,The Cult,1461,The Cure,75.0
5,Joan Sebastian,Joan Sebastian,1345,Joan Sebastian,100.0
6,KISS,KISS,1480,KISS,100.0
7,The Strokes,The Strokes,1264,The Strokes,100.0
8,David Bowie,David Bowie,1283,David Bowie,100.0
9,Mira,Mira,1359,Mora,75.0
10,Maroons,Maroons,1034,Maroon 5,75.0
11,Eminem,Eminem,1008,Eminem,100.0
12,The Corrs,The Corrs,1488,The Doors,77.77777777777779
13,The Roots,The Roots,1488,The Doors,77.77777777777779
14,Big Star,Big Star,1333,Big Sean,75.0
15,Journey,Journey,1196,Journey,100.0
16,Lynyrd Skynyrd,Lynyrd Skynyrd,1281,Lynyrd Skynyrd,100.0
17,Toby Keith,Toby Keith,1458,Toby Keith,100.0
18,System Of A Down,System Of A Down,1161,System Of A Down,100.0
19,Mariah Carey,Mariah Carey,1209,Mariah Carey,100.0
20,Oasis,Oasis,1294,Oasis,100.0
21,Dr. Dre,Dr. Dre,1147,Dr. Dre,100.0
22,Deftones,Deftones,1254,Deftones,100.0
23,Destiny's Child,Destiny's Child,1428,Destiny's Child,100.0
24,Rascal Flatts,Rascal Flatts,1443,Rascal Flatts,100.0
25,Black Sabbath,Black Sabbath,1471,Black Sabbath,100.0
26,Britney Spears,Britney Spears,1129,Britney Spears,100.0
27,Metallica,Metallica,1063,Metallica,100.0
28,Marc Anthony,Marc Anthony,1370,Marc Anthony,100.0
29,Papa Roach,Papa Roach,1435,Papa Roach,100.0
30,Red Hot Chili Peppers,Red Hot Chili Peppers,1050,Red Hot Chili Peppers,100.0
31,Alejandro Fernández,Alejandro Fernández,1421,Alejandro Fernández,100.0
32,Radiohead,Radiohead,1155,Radiohead,100.0
33,Jack Johnson,Jack Johnson,1204,Jack Johnson,100.0
34,Jason Mraz,Jason Mraz,1472,Jason Mraz,100.0
35,The Dames,The Dames,1473,The Game,75.0
36,Foo Fighters,Foo Fighters,1156,Foo Fighters,100.0
37,My Chemical Romance,My Chemical Romance,1167,My Chemical Romance,100.0
38,P!nk,P!nk,1162,P!nk,100.0
39,Shinedown,Shinedown,1290,Shinedown,100.0
40,Phil Collins,Phil Collins,1291,Phil Collins,100.0
41,The Pale,The Pale,1473,The Game,75.0
42,Tears For Fears,Tears For Fears,1433,Tears For Fears,100.0
43,Bruce Springsteen,Bruce Springsteen,1311,Bruce Springsteen,100.0
44,Three Days Grace,Three Days Grace,1210,Three Days Grace,100.0
45,Evanescence,Evanescence,1495,Evanescence,100.0
46,Van Hunt,Van Hunt,1270,Sam Hunt,75.0
47,Muse,Muse,1282,Muse,100.0
48,Miggs,Miggs,1201,Migos,80.0
49,The Wilders,The Wilders,1424,The Walters,81.81818181818181
50,Porn,Porn,1300,Korn,75.0
51,Steve Lucky,Steve Lucky,1075,Steve Lacy,80.0
52,Guns N' Roses,Guns N' Roses,1107,Guns N' Roses,100.0
53,George Michael,George Michael,1456,George Michael,100.0
54,The Spores,The Spores,1494,The Score,77.77777777777779
55,Jason Moran,Jason Moran,1472,Jason Mraz,80.0
56,David Guetta,David Guetta,1328,David Guetta,100.0
57,Cage The Elephant,Cage The Elephant,1245,Cage The Elephant,100.0
58,Beatallica,Beatallica,1063,Metallica,77.77777777777779
59,Pitbull,Pitbull,1164,Pitbull,100.0
60,Matamore,Matamore,1178,Paramore,75.0
61,The Neighborhoods,The Neighborhoods,1044,The Neighbourhood,88.23529411764706
62,Baby Dee,Baby Dee,1198,Baby Keem,77.77777777777779
63,Dr. Dog,Dr. Dog,1147,Dr. Dre,71.42857142857143
64,Future.,Future.,1018,Future,83.33333333333334
65,Jon Paris,Jon Paris,1238,Jon Pardi,77.77777777777779
66,Sean Smith,Sean Smith,1084,Sam Smith,77.77777777777779
67,Mumford & Sons,Mumford & Sons,1387,Mumford & Sons,100.0
68,DJ Savage,DJ Savage,1348,21 Savage,77.77777777777779
69,Lil Wyte,Lil Wyte,1068,Lil Wayne,77.77777777777779
70,The Moops,The Moops,1488,The Doors,77.77777777777779
71,Drake,Drake,1002,Drake,100.0
72,Nicki Minaj,Nicki Minaj,1067,Nicki Minaj,100.0
73,The Scene,The Scene,1494,The Score,77.77777777777779
74,Ellie Goulding,Ellie Goulding,1310,Ellie Goulding,100.0
75,Dan Gabriel,Dan Gabriel,1466,Juan Gabriel,83.33333333333334
76,Elley Duhe,Elley Duhe,1390,Elley Duhé,90.0
77,Tame Impala,Tame Impala,1113,Tame Impala,100.0
78,Skylime,Skylime,1372,Sublime,71.42857142857143
79,Back Sabbath,Back Sabbath,1471,Black Sabbath,92.3076923076923
80,Skrillex,Skrillex,1362,Skillet,71.42857142857143
81,Futures,Futures,1018,Future,83.33333333333334
82,The Tellers,The Tellers,1182,The Killers,81.81818181818181
83,Manna,Manna,1235,Madonna,71.42857142857143
