,external_id,external_name,entity_id,name,confidence
0,9lives,9lives,3495,9lives,100.0
1,505 Games,505 Games,3362,505 Games,100.0
2,Ci Games,Ci Games,3326,4j Games,75.0
3,90 Degree By Reflex,90 Degree By Reflex,3471,90 Degree By Reflex,100.0
4,3 Nations Brewing Co,3 Nations Brewing Co,3270,3 Nations Brewing Co,100.0
5,3 Musketeers,3 Musketeers,3269,3 Musketeers,100.0
6,47 Brand,47 Brand,3298,47 Brand,100.0
7,7UP,7UP,3437,7UP,100.0
8,4-Way,4-Way,3350,4-Way,100.0
9,"3d Systems, Inc.","3d Systems, Inc.",3244,"3d Systems, Inc.",100.0
10,"23andMe, Inc","23andMe, Inc",3147,"23andMe, Inc",100.0
11,19 Crimes,19 Crimes,3092,19 Crimes,100.0
12,4ocean,4ocean,3335,4ocean,100.0
13,4 Grain,4 Grain,3321,4 Grain,100.0
14,9 Elements,9 Elements,3491,9 Elements,100.0
15,"Skell, Inc.","Skell, Inc.",3461,"8cell, Inc.",81.81818181818181
16,Hat Club,Hat Club,3163,2a5 Club,75.0
17,"34 Degrees, Llc","34 Degrees, Llc",3210,"34 Degrees, Llc",100.0
18,3 Legged Thing,3 Legged Thing,3255,3 Legged Thing,100.0
19,5vorflug,5vorflug,3395,5vorflug,100.0
20,3c4g,3c4g,3230,3c4g,100.0
21,3t Software Labs,3t Software Labs,3282,3t Software Labs,100.0
22,4505 Meats,4505 Meats,3297,4505 Meats,100.0
23,7 For All Mankind,7 For All Mankind,3429,7 For All Mankind,100.0
24,Gn Group,Gn Group,3247,3h Group,75.0
25,8 Myles,8 Myles,3464,8 Myles,100.0
26,1more,1more,3105,1more,100.0
27,2nd Foods,2nd Foods,3180,2nd Foods,100.0
28,O'Brothers,O'Brothers,3166,2 Brothers,80.0
29,4grain,4grain,3321,4 Grain,71.42857142857143
30,3zeros,3zeros,3284,3zeros,100.0
31,Blau,Blau,3254,3lau,75.0
32,"13 Fifty Apparel, Llc","13 Fifty Apparel, Llc",3057,"13 Fifty Apparel, Llc",100.0
33,Fh Group,Fh Group,3247,3h Group,87.5
34,4moms,4moms,3333,4moms,100.0
35,Eb Games,Eb Games,3326,4j Games,75.0
36,42 Below,42 Below,3293,42 Below,100.0
37,4d Master,4d Master,3315,4d Master,100.0
38,11 Bit Studios S.A.,11 Bit Studios S.A.,3029,11 Bit Studios S.A.,100.0
39,1800 Tequila,1800 Tequila,3081,1800 Tequila,100.0
